Date,Open,High,Low,Close,Adj Close,Volume
2016-02-17,15.073400,15.488600,14.874100,15.289300,14.853071,2636275
2016-02-18,15.198000,15.521900,14.965400,15.521900,15.079036,1884069
2016-02-19,15.297600,15.854000,15.256100,15.696300,15.248458,1448542
2016-02-22,16.153000,16.319099,15.837400,16.319099,15.853490,2631459
2016-02-23,16.128099,16.568300,16.061701,16.070000,15.611495,1179063
2016-02-24,16.011801,16.169600,15.571700,16.078300,15.619558,1222050
2016-02-25,16.094900,16.485201,15.903900,16.485201,16.014849,1399174
2016-02-26,16.651300,16.842300,16.028500,16.169600,15.708253,1612060
2016-02-29,16.377300,16.692801,16.310801,16.518400,16.047102,3204253
2016-03-01,16.609800,17.083200,16.559999,16.759300,16.281128,3856519
2016-03-02,16.925400,17.166201,16.584900,16.917101,16.434429,3161628
2016-03-03,17.224400,17.440300,16.759300,17.025000,16.539249,3611122
2016-03-04,17.415400,17.955200,17.008400,17.863800,17.354116,3486015
2016-03-07,18.220900,18.270800,17.789101,18.270800,17.749506,1905381
2016-03-08,18.270800,18.337200,17.913700,18.204300,17.684898,2919843
2016-03-09,18.353800,18.636200,18.071501,18.370399,17.846260,2769329
2016-03-10,18.669399,19.225800,18.137899,18.885300,18.346470,3892161
2016-03-11,18.686001,18.752501,17.514999,17.681101,17.176630,2976075
2016-03-14,17.980101,17.980101,16.734400,16.867201,16.402920,2585342
2016-03-15,16.850599,16.867201,15.986900,16.360600,15.910263,2265530
2016-03-16,16.501801,17.481800,16.194500,17.049999,16.580688,3238450
2016-03-17,17.407101,18.353800,17.299101,18.104700,17.606358,3168371
2016-03-18,18.212601,18.362101,17.581499,18.104700,17.606358,2817012
2016-03-21,18.270800,18.287399,17.963499,18.187700,17.687071,2118268
2016-03-22,18.287399,18.395300,17.946899,18.187700,17.687071,1843610
2016-03-23,18.096399,18.237600,17.448601,17.606400,17.121775,2101049
2016-03-24,17.373800,17.755899,17.348900,17.556601,17.073343,1911041
2016-03-28,17.922001,18.212601,17.789101,18.071501,17.574074,1568592
2016-03-29,18.187700,18.245899,17.755899,17.930300,17.436758,2041686
2016-03-30,18.254200,18.254200,17.216101,17.465200,16.984463,2292261
2016-03-31,16.583200,16.583200,16.583200,16.583200,16.126738,3110
2016-04-01,16.732700,16.732700,16.732700,16.732700,16.272121,301
2016-04-04,16.045099,16.045099,16.045099,16.045099,15.603448,7525
2016-04-05,15.905500,15.905500,15.905500,15.905500,15.467691,8027
2016-04-06,15.825800,15.825800,15.825800,15.825800,15.390185,7425
2016-04-07,15.427200,15.427200,15.427200,15.427200,15.002558,4314
2016-04-08,15.696300,15.995200,15.606600,15.995200,15.554922,5177467
